"","tripduration","starttime","stoptime","start.station.id","start.station.name","start.station.latitude","start.station.longitude","end.station.id","end.station.name","end.station.latitude","end.station.longitude","bikeid","usertype","postal.code","distance_km","started_hour","time_block","day_of_week","weekend_or_weekday"
"1",597,2022-01-01 00:00:25.166,2022-01-01 00:10:22.192,178,"MIT Pacific St at Purrington St",42.3595732010904,-71.1012947559357,74,"Harvard Square at Mass Ave/ Dunster",42.373268,-71.118579,4923,"Subscriber","02139",2.08447770929696,0,"Night","Saturday","Weekend"
"2",411,2022-01-01 00:00:40.43,2022-01-01 00:07:32.198,189,"Kendall T",42.3624278429124,-71.0849547386169,178,"MIT Pacific St at Purrington St",42.3595732010904,-71.1012947559357,3112,"Subscriber","02139",1.381112506442,0,"Night","Saturday","Weekend"
"3",476,2022-01-01 00:00:54.818,2022-01-01 00:08:51.668,94,"Main St at Austin St",42.375603,-71.064608,356,"Charlestown Navy Yard",42.3741245494265,-71.0548119993837,6901,"Customer","02124",0.822237283967278,0,"Night","Saturday","Weekend"
"4",466,2022-01-01 00:01:01.608,2022-01-01 00:08:48.235,94,"Main St at Austin St",42.375603,-71.064608,356,"Charlestown Navy Yard",42.3741245494265,-71.0548119993837,5214,"Customer","02124",0.822237283967278,0,"Night","Saturday","Weekend"
"5",752,2022-01-01 00:01:06.052,2022-01-01 00:13:38.23,19,"Park Dr at Buswell St",42.347241,-71.105301,41,"Packard's Corner - Commonwealth Ave at Brighton Ave",42.352261,-71.123831,2214,"Subscriber","02215",1.62366473729226,0,"Night","Saturday","Weekend"
"6",339,2022-01-01 00:01:08.5,2022-01-01 00:06:47.531,107,"Ames St at Main St",42.3625,-71.08822,68,"Central Square at Mass Ave / Essex St",42.36507,-71.1031,6877,"Subscriber","02139",1.25690079570461,0,"Night","Saturday","Weekend"
"7",983,2022-01-01 00:01:24.749,2022-01-01 00:17:48.185,36,"Copley Square - Dartmouth St at Boylston St",42.3499282823006,-71.0773920686643,36,"Copley Square - Dartmouth St at Boylston St",42.3499282823006,-71.0773920686643,4683,"Subscriber","02130",0,0,"Night","Saturday","Weekend"
"8",1707,2022-01-01 00:01:49.653,2022-01-01 00:30:17.421,58,"Mugar Way at Beacon St",42.3555362848971,-71.0728687047958,58,"Mugar Way at Beacon St",42.3555362848971,-71.0728687047958,4432,"Subscriber","02108",0,0,"Night","Saturday","Weekend"
"9",837,2022-01-01 00:02:30.265,2022-01-01 00:16:27.627,60,"Charles Circle - Charles St at Cambridge St",42.3607929685827,-71.0711896233715,363,"Harrison Ave at Mullins Way",42.3452156211502,-71.0638403149278,3431,"Subscriber","02215",1.83643988727113,0,"Night","Saturday","Weekend"
"10",495,2022-01-01 00:02:46.776,2022-01-01 00:11:02.349,178,"MIT Pacific St at Purrington St",42.3595732010904,-71.1012947559357,107,"Ames St at Main St",42.3625,-71.08822,4017,"Subscriber","02139",1.12373883204421,0,"Night","Saturday","Weekend"
"11",801,2022-01-01 00:03:23.965,2022-01-01 00:16:45.415,60,"Charles Circle - Charles St at Cambridge St",42.3607929685827,-71.0711896233715,363,"Harrison Ave at Mullins Way",42.3452156211502,-71.0638403149278,6614,"Customer","02128",1.83643988727113,0,"Night","Saturday","Weekend"
"12",749,2022-01-01 00:03:37.263,2022-01-01 00:16:07.139,4,"Tremont St at E Berkeley St",42.345392,-71.069616,4,"Tremont St at E Berkeley St",42.345392,-71.069616,6588,"Subscriber","02116",0,0,"Night","Saturday","Weekend"
"13",1289,2022-01-01 00:03:57.154,2022-01-01 00:25:26.599,178,"MIT Pacific St at Purrington St",42.3595732010904,-71.1012947559357,372,"Boylston St at Exeter St",42.3495894236824,-71.0794677917329,5884,"Subscriber","02139",2.11169726027292,0,"Night","Saturday","Weekend"
"14",1601,2022-01-01 00:03:59.694,2022-01-01 00:30:40.968,377,"Perry Park",42.3792732460084,-71.1034190283135,480,"Thorndike Field at Minuteman Bikeway",42.4001680485379,-71.144569630942,5339,"Customer","02143",4.10574089626832,0,"Night","Saturday","Weekend"
"15",1267,2022-01-01 00:04:18.862,2022-01-01 00:25:26.261,178,"MIT Pacific St at Purrington St",42.3595732010904,-71.1012947559357,372,"Boylston St at Exeter St",42.3495894236824,-71.0794677917329,6304,"Subscriber","02139",2.11169726027292,0,"Night","Saturday","Weekend"
"16",1277,2022-01-01 00:04:49.85,2022-01-01 00:26:07.468,342,"Boylston St at Jersey St",42.3446506288783,-71.0973250122697,36,"Copley Square - Dartmouth St at Boylston St",42.3499282823006,-71.0773920686643,6937,"Customer","NULL",1.74201276091539,0,"Night","Saturday","Weekend"
"17",1238,2022-01-01 00:05:06.588,2022-01-01 00:25:44.916,342,"Boylston St at Jersey St",42.3446506288783,-71.0973250122697,36,"Copley Square - Dartmouth St at Boylston St",42.3499282823006,-71.0773920686643,6425,"Customer","NULL",1.74201276091539,0,"Night","Saturday","Weekend"
"18",1264,2022-01-01 00:05:21.241,2022-01-01 00:26:25.451,491,"Harrison Ave at E. Dedham St",42.339194,-71.06975,60,"Charles Circle - Charles St at Cambridge St",42.3607929685827,-71.0711896233715,4470,"Subscriber","06488",2.4073014815439,0,"Night","Saturday","Weekend"
"19",3176,2022-01-01 00:05:30.451,2022-01-01 00:58:26.791,362,"Columbia Rd at Tierney Community Center",42.3302307052873,-71.0506009312303,190,"Nashua Street at Red Auerbach Way",42.365673,-71.064263,6283,"Subscriber","02114",4.10240572569327,0,"Night","Saturday","Weekend"
"20",276,2022-01-01 00:06:41.807,2022-01-01 00:11:17.894,43,"Rowes Wharf at Atlantic Ave",42.357143,-71.050699,157,"Seaport Blvd at Sleeper St",42.3531780918625,-71.0481735692338,7295,"Subscriber","02210",0.487820571057782,0,"Night","Saturday","Weekend"
"21",581,2022-01-01 00:07:40.832,2022-01-01 00:17:22.499,121,"W Broadway at Dorchester St",42.3359589794331,-71.0462289956104,152,"Ink Block - Harrison Ave at Herald St",42.345901,-71.063187,2786,"Subscriber","02127",1.78096483960344,0,"Night","Saturday","Weekend"
"22",773,2022-01-01 00:08:46.518,2022-01-01 00:21:40.018,381,"Inman Square at Springfield St.",42.3742671352493,-71.100264787674,381,"Inman Square at Springfield St.",42.3742671352493,-71.100264787674,5399,"Subscriber","02143",0,0,"Night","Saturday","Weekend"
"23",374,2022-01-01 00:09:39.837,2022-01-01 00:15:53.895,10,"B.U. Central - 725 Comm. Ave.",42.350406,-71.108279,41,"Packard's Corner - Commonwealth Ave at Brighton Ave",42.352261,-71.123831,4360,"Subscriber","02134",1.29599202932589,0,"Night","Saturday","Weekend"
"24",633,2022-01-01 00:10:03.684,2022-01-01 00:20:37.288,81,"Chinatown T Stop",42.352409,-71.062679,81,"Chinatown T Stop",42.352409,-71.062679,5227,"Subscriber","02116",0,0,"Night","Saturday","Weekend"
"25",357,2022-01-01 00:10:15.203,2022-01-01 00:16:12.543,178,"MIT Pacific St at Purrington St",42.3595732010904,-71.1012947559357,318,"Ames St at Broadway",42.3636929,-71.0875672,7361,"Subscriber","02139",1.21873308951691,0,"Night","Saturday","Weekend"
"26",1572,2022-01-01 00:10:44.313,2022-01-01 00:36:56.651,332,"Harvard Ave at Brainerd Rd",42.3495301689037,-71.1302277074173,372,"Boylston St at Exeter St",42.3495894236824,-71.0794677917329,6230,"Subscriber","02134",4.17604991573383,0,"Night","Saturday","Weekend"
"27",463,2022-01-01 00:10:46.715,2022-01-01 00:18:30.167,328,"Grove St at Community Path",42.396386809455,-71.1201130600602,407,"Craigie at Summer St",42.3835013009166,-71.1080897529155,4880,"Customer","NULL",1.74204323267235,0,"Night","Saturday","Weekend"
"28",686,2022-01-01 00:11:52.903,2022-01-01 00:23:19.579,233,"St Mary's",42.3461970765555,-71.1072868108749,69,"Coolidge Corner - Beacon St at Centre St",42.341598,-71.123338,5220,"Subscriber","02446",1.41642131813569,0,"Night","Saturday","Weekend"
"29",740,2022-01-01 00:12:17.504,2022-01-01 00:24:38.181,233,"St Mary's",42.3461970765555,-71.1072868108749,69,"Coolidge Corner - Beacon St at Centre St",42.341598,-71.123338,7340,"Subscriber","02446",1.41642131813569,0,"Night","Saturday","Weekend"
"30",1172,2022-01-01 00:13:37.256,2022-01-01 00:33:09.599,176,"Lesley University",42.3867480204506,-71.1190187931061,376,"Honan Library",42.3602737045493,-71.1285245232739,2534,"Subscriber","02135",3.04902679868421,0,"Night","Saturday","Weekend"
"31",491,2022-01-01 00:15:34.476,2022-01-01 00:23:46.321,55,"Boylston St at Massachusetts Ave",42.3474062052521,-71.0867841495565,4,"Tremont St at E Berkeley St",42.345392,-71.069616,6263,"Subscriber","02190",1.43018925050912,0,"Night","Saturday","Weekend"
